idx,SEX_GBN,AGE_GBN,JOB_GBN,ADD_GBN,INCOME_GBN,MARRY_Y,DOUBLE_IN,NUMCHILD,TOT_ASSET,ASS_FIN,ASS_REAL,ASS_ETC,M_TOT_SAVING,M_JEOK,CHUNG_Y,M_FUND_STOCK,M_FUND,M_STOCK,M_SAVING_INSUR,M_CHUNG,TOT_DEBT,D_SHINYONG,D_DAMBO,D_JUTEAKDAMBO,D_JEONSEA,RETIRE_NEED,FOR_RETIRE,TOT_YEA,TOT_JEOK,TOT_CHUNG,TOT_FUND,TOT_ELS_ETE,TOT_SOBI,M_CRD_SPD
31,1,4,8,5,6,2,2,3,20650,3150,16000,1500,90,15,5,10,0,10,30,5,2600,400,0,0,0,200,0,100,100,300,,,300,3380323
32,1,3,2,5,6,2,2,1,33500,9200,21200,3100,455,400,5,0,0,0,25,0,2000,0,0,0,0,,400,5000,2000,300,,500,70,3146348
33,1,6,6,4,5,2,2,2,47900,1900,45000,1000,50,0,5,0,0,0,0,50,18000,0,8000,8000,0,,0,1000,,400,,,280,1978722
34,1,4,2,4,5,2,1,1,40600,13100,27000,500,150,90,5,10,10,0,30,0,3000,0,0,0,0,300,130,5000,500,500,1500,,200,3809610
37,2,3,2,4,4,1,,,14100,5800,3300,5000,100,0,5,0,0,0,80,0,4060,0,0,0,2000,,20,,,400,,,100,2929480
38,2,4,2,5,6,2,2,2,27710,3710,22000,2000,222,60,5,0,0,0,50,12,0,0,0,0,0,200,50,500,60,400,,,250,2639625
40,1,4,6,5,7,2,2,2,154750,105000,48000,1750,1000,150,,0,0,0,0,0,0,0,0,0,0,500,500,,30000,,,,1000,3380323
41,1,5,2,5,7,2,2,2,28600,9100,18000,1500,60,0,,30,30,0,0,0,11300,0,9300,9300,0,,0,,,,500,,200,2860741
42,2,5,9,5,6,2,2,3,20300,9300,9500,1500,50,5,,0,0,0,20,0,3300,0,1700,1700,0,,30,3000,800,,,,150,2188927
44,1,6,9,5,4,2,1,2,335,35,100,200,20,0,,0,0,0,0,0,400,0,0,0,0,,0,,,,,,250,1656130
46,1,6,9,5,7,2,2,2,22500,7500,12000,3000,100,20,,20,20,0,10,0,6500,2100,4400,0,0,,0,2000,500,,300,,900,1656130
48,1,3,9,3,6,1,,,69500,2500,60000,7000,100,0,,0,0,0,0,0,4000,0,4000,4000,0,,0,,,,,,250,3232276
49,1,5,3,3,2,1,,,7605,7105,0,500,70,0,,0,0,0,0,0,0,0,0,0,0,,0,6000,,,,,30,2869737
50,2,5,7,3,7,2,2,2,62500,10500,42000,10000,350,150,,0,0,0,100,0,0,0,0,0,0,400,200,,5000,,,,400,2274012
51,2,2,2,5,3,1,,,2762,1762,0,1000,50,0,5,0,0,0,11,5,0,0,0,0,0,,10,800,100,340,,,180,1682269
52,1,5,3,5,7,2,2,2,25500,2500,20000,3000,150,0,,0,0,0,50,0,14600,2600,8000,8000,0,,50,,1000,,,,500,2860741
54,1,3,9,3,6,2,2,2,113250,250,111000,2000,10,0,5,0,0,0,0,10,30,0,20,0,0,,0,,,50,,,100,3232276
56,2,3,2,2,6,2,2,,56600,6600,43000,7000,170,100,5,0,0,0,25,0,9400,1900,7500,7500,0,,6,2000,800,400,,,200,2932871
62,2,2,2,5,2,1,,,2050,550,0,1500,8,5,5,0,0,0,0,2,88,0,0,0,0,,0,,300,150,,,66,1682269
63,1,5,2,2,7,2,2,3,49700,5700,41000,3000,150,70,5,0,0,0,30,50,800,0,0,0,0,,60,1000,1800,500,,,350,3038873
65,2,3,3,5,7,2,2,2,26300,800,23000,2500,100,0,,0,0,0,0,0,4000,2000,2000,2000,0,,0,,,,,,700,2641576
67,2,6,2,4,7,2,2,1,121100,23100,94000,4000,200,0,5,0,0,0,0,50,0,0,0,0,0,,0,14000,,300,,8000,250,1739355
68,2,6,7,5,4,2,2,,140550,15300,125000,250,10,0,,0,0,0,0,0,7500,0,5000,5000,0,,0,,,,,,200,1482185
69,1,5,9,3,6,2,1,2,46420,9920,36000,500,75,30,5,0,0,0,15,20,11000,0,11000,11000,0,,30,1500,500,120,500,,400,2869737
70,2,2,2,3,2,1,,,12530,30,10500,2000,30,0,,0,0,0,0,0,0,0,0,0,0,,10,,,,,,50,1693477
71,1,5,2,5,6,2,1,2,37250,3750,30500,3000,300,200,5,0,0,0,0,5,0,0,0,0,0,,100,2000,200,500,,,150,2860741
73,2,5,3,5,6,2,2,2,25930,430,25000,500,50,20,,0,0,0,0,0,0,0,0,0,0,,30,200,200,,,,300,2188927
74,2,3,2,5,3,1,,,10600,9900,0,700,110,100,5,0,0,0,0,10,0,0,0,0,0,,0,8000,1200,400,,,40,2641576
75,2,4,9,4,5,2,2,,31210,5210,25000,1000,160,0,,0,0,0,50,0,10300,1500,8000,8000,0,200,100,510,,,,,100,3146000
78,2,5,2,5,6,2,2,2,23400,2400,20000,1000,50,0,5,0,0,0,0,0,1000,0,0,0,0,,0,,,200,,,400,2188927
79,2,5,9,5,7,2,2,3,58960,8460,50000,500,400,250,5,0,0,0,65,10,20000,0,20000,10000,0,400,200,,3000,130,,,200,2188927
80,1,6,2,2,5,2,1,1,55300,1800,53000,500,100,0,5,0,0,0,0,20,1200,0,0,0,0,,0,,,900,,,300,1830279
81,1,4,9,2,7,2,2,3,65550,2550,60000,3000,50,0,,0,0,0,10,0,0,0,0,0,0,400,0,,,,,,100,3615840
82,1,6,7,3,6,2,2,2,31600,5600,21000,5000,20,10,,0,0,0,5,0,0,0,0,0,0,,20,,800,,,,200,1645889
84,2,4,9,2,7,2,2,1,117900,24400,90500,3000,300,124,,0,0,0,111,0,5600,0,5600,5600,0,300,300,5000,3000,,,,400,3198903
92,1,5,6,4,7,1,,2,115500,33500,72000,10000,200,200,5,0,0,0,0,0,0,0,0,0,0,,200,3000,2000,500,2000,,800,3106659
93,1,4,2,2,6,2,2,1,19000,2000,15000,2000,50,0,5,0,0,0,0,10,7000,0,0,0,7000,200,0,,,1800,,,300,3615840
95,1,6,4,4,5,2,1,2,68900,27900,39000,2000,20,0,5,0,0,0,20,0,0,0,0,0,0,,20,,,400,,5000,300,1978722
96,2,4,2,5,6,2,2,1,16700,1700,10000,5000,65,0,,0,0,0,0,0,11200,1000,8000,8000,0,250,0,,,,,,200,2639625
98,1,5,2,5,6,2,2,2,27950,150,27000,800,25,0,,0,0,0,25,0,650,300,0,0,0,,0,,,,,,350,2860741
99,1,4,2,5,5,2,1,2,14900,400,12500,2000,50,0,,0,0,0,0,0,6000,0,6000,6000,0,300,0,,,,,,350,3380323
102,2,5,3,5,6,2,2,1,28830,5330,22000,1500,110,13,5,0,0,0,60,2,17800,4000,10000,10000,0,,0,,80,600,,,200,2188927
106,1,5,2,5,6,2,2,2,19700,1700,16000,2000,30,0,,0,0,0,0,0,10800,0,8000,8000,0,,0,,,,1500,,400,2860741
107,1,6,2,1,7,2,1,2,111800,46800,65000,0,1200,0,5,0,0,0,0,0,1936,0,0,0,0,,0,,,500,5000,3000,300,3425282
109,2,3,3,3,3,1,,,8540,4040,1000,3500,20,0,5,0,0,0,5,5,0,0,0,0,0,,0,,,500,,,100,2769733
113,2,4,2,3,6,1,,,17760,9750,8000,10,150,50,5,0,0,0,70,30,0,0,0,0,0,200,50,1000,2000,500,3000,,200,2835021
114,1,4,2,3,4,2,1,1,33280,280,32000,1000,2,0,,0,0,0,0,0,4900,0,4900,4900,0,250,1,,,,,,20,3487272
123,2,2,2,5,5,1,,,7530,530,4500,2500,5,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,250,1682269
125,2,3,9,3,6,2,2,2,73500,11000,60000,2500,200,100,5,30,0,30,0,20,700,0,700,0,0,,100,5000,2000,1000,,,300,2769733
127,1,5,8,3,7,2,2,1,30420,4920,25000,500,50,0,5,0,0,0,30,10,0,0,0,0,0,,0,,,120,,,200,2869737
132,2,4,9,5,7,1,,,19050,9050,9000,1000,200,110,,0,0,0,60,0,2700,0,2700,2700,0,100,100,,3000,,,,100,2639625
134,2,4,7,3,2,1,,,1400,100,1300,0,10,0,,0,0,0,0,0,0,0,0,0,0,200,0,,,,,,50,2835021
135,2,5,2,5,5,2,2,2,5400,400,0,5000,50,0,,0,0,0,0,0,4500,0,4500,4500,0,,0,,,,,,100,2188927
136,2,3,2,2,2,1,,,5800,5500,0,300,5,0,5,0,0,0,0,2,0,0,0,0,0,,0,4000,,300,,,15,2932871
139,1,2,3,2,3,1,,,25680,680,25000,0,20,0,5,0,0,0,0,10,0,0,0,0,0,,0,,,230,,,120,1369899
141,1,3,2,2,4,1,,,21800,18500,1500,1800,10,10,,0,0,0,0,0,20000,0,20000,20000,0,,0,,200,,,,160,3211358
147,2,3,2,1,7,2,2,,146500,11500,133000,2000,400,400,,0,0,0,0,0,1000,0,0,0,1000,,50,5000,5000,,,,200,3594431
148,2,2,9,5,1,1,,,434,424,0,10,10,10,5,0,0,0,0,0,0,0,0,0,0,,0,50,100,200,,,130,1682269
150,1,2,2,5,2,1,,,1200,500,200,500,50,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,100,1405288
153,2,6,9,5,6,1,,,4610,2610,1000,1000,35,5,5,0,0,0,0,10,13810,790,13000,13000,0,,20,,60,50,,,450,1482185
154,1,4,6,3,6,2,2,2,41300,4300,35000,2000,150,0,5,0,0,0,100,40,16000,0,16000,16000,0,300,100,,,2000,,,350,3487272
156,1,4,9,3,6,2,2,2,12200,4500,7500,200,350,200,5,30,30,0,0,20,1500,1500,0,0,0,300,0,,2000,250,1500,,300,3487272
157,2,3,4,5,6,2,2,2,20855,4355,15500,1000,200,78,5,2,2,0,50,30,2400,0,2400,2400,0,,50,,2000,400,50,,250,2641576
158,1,3,2,3,3,2,1,1,34350,350,33000,1000,44,0,5,0,0,0,0,44,3000,0,3000,3000,0,,5,,,300,,,80,3232276
160,1,3,2,5,4,2,2,,11090,4090,7000,0,10,0,5,0,0,0,0,10,0,0,0,0,0,,0,,3500,90,,,100,3146348
161,1,3,6,2,7,1,,,23600,400,13200,10000,50,0,,0,0,0,0,0,700,200,0,0,500,,0,200,,,,,400,3211358
162,1,5,2,2,7,2,2,2,73500,28000,43000,2500,50,0,5,0,0,0,20,0,11155,0,11155,11155,0,,30,15800,,300,,,600,3038873
163,2,4,3,3,4,1,,1,9300,4850,3700,750,40,0,5,0,0,0,30,0,3700,3200,500,0,0,250,0,,,250,,,220,2835021
164,1,3,2,3,7,1,,,30300,22300,1000,7000,100,50,5,0,0,0,40,10,0,0,0,0,0,,50,2000,2000,300,,,200,3232276
165,1,4,8,3,4,1,,,1500,500,0,1000,50,0,,0,0,0,0,0,1700,0,0,0,0,250,0,,,,,,150,3487272
166,2,4,7,5,5,2,2,2,37050,6050,30000,1000,110,0,5,0,0,0,60,20,10700,0,10000,10000,0,200,0,,,250,400,,334,2639625
167,1,6,9,3,6,2,1,2,18720,1220,2500,15000,35,15,,0,0,0,0,0,0,0,0,0,0,,0,,320,,,,60,1645889
168,1,5,2,2,7,2,2,2,102000,2000,90000,10000,500,0,,0,0,0,0,0,0,0,0,0,0,,200,,,,,,800,3038873
170,2,5,2,3,7,2,2,2,66400,16900,47000,2500,500,60,,0,0,0,0,0,0,0,0,0,0,,350,3000,6500,,,,380,2274012
172,1,5,9,5,6,1,,2,8280,8030,0,250,47,0,5,0,0,0,25,10,2400,0,0,0,0,,0,,,470,,,450,2860741
173,2,4,2,5,6,2,2,2,33220,5120,27100,1000,100,80,5,0,0,0,0,20,7400,0,7000,7000,0,200,30,1900,1400,570,,,200,2639625
175,1,4,9,5,4,2,2,1,22350,2350,19000,1000,50,0,5,0,0,0,0,0,1000,0,0,0,0,250,0,1000,,300,,,300,3380323
176,2,5,9,5,6,2,2,1,122660,12660,108500,1500,110,0,5,0,0,0,89,6,29670,100,23570,0,0,,0,2000,,360,,,210,2188927
177,1,5,3,1,7,2,2,1,87550,30550,47000,10000,300,0,,250,0,250,0,0,1100,0,900,0,0,,0,,,,,,300,4970759
178,1,4,2,3,7,2,1,2,65930,11930,51000,3000,160,15,5,0,0,0,35,0,12900,0,10800,10800,0,500,0,,180,250,,,400,3487272
183,1,4,2,5,5,2,2,2,19050,1050,13000,5000,20,0,5,0,0,0,0,5,14500,0,0,0,8000,250,0,,,500,,,300,3380323
186,2,3,2,3,6,2,2,,22090,5790,16000,300,300,250,5,10,10,0,10,0,27,0,0,0,27,,10,500,2000,600,700,,200,2769733
187,2,3,9,5,4,2,2,3,32600,7600,24000,1000,40,0,5,0,0,0,0,0,9500,0,9500,9500,0,,0,,,100,,,300,2641576
189,2,6,7,4,2,1,,,860,850,0,10,20,0,5,0,0,0,0,0,1500,0,0,0,0,200,0,,,50,,,80,1739355
192,2,4,2,3,5,2,2,,33100,1600,30000,1500,40,5,5,0,0,0,0,20,6000,0,6000,6000,0,200,15,400,40,60,,,200,2835021
194,2,6,9,4,7,2,2,1,81060,41060,35000,5000,400,0,5,0,0,0,130,0,280,0,0,0,0,,130,,,1360,18000,,600,1739355
195,2,2,2,3,2,1,,,700,400,300,0,5,5,,0,0,0,0,0,0,0,0,0,0,,0,,300,,,,100,1693477
196,2,3,2,5,6,2,2,1,15200,6200,1000,8000,300,200,,0,0,0,30,0,0,0,0,0,0,,30,200,5000,,,,250,2641576
197,2,3,2,3,6,2,2,,39000,5000,30000,4000,100,20,,0,0,0,20,0,5000,0,3000,3000,0,,100,1000,1000,,,,300,2769733
198,2,5,9,2,7,2,2,2,193300,2300,190000,1000,10,0,5,0,0,0,5,2,20000,0,20000,20000,0,300,0,1000,,200,,,300,2568835
200,1,2,4,5,2,1,,,6040,950,4200,890,60,60,,0,0,0,0,0,41,0,0,0,0,,10,,850,,,,80,1405288
202,1,3,2,5,4,2,2,2,36080,580,35000,500,70,0,5,0,0,0,0,10,9000,0,9000,9000,0,,0,,,320,,,300,3146348
203,2,3,3,5,3,1,,,11880,4280,7000,600,170,120,5,0,0,0,20,20,0,0,0,0,0,,30,2000,900,580,500,,80,2641576
204,2,3,2,3,6,2,2,,12175,475,10700,1000,50,50,,0,0,0,0,0,500,0,500,0,0,,0,,275,,,,150,2769733
205,1,5,9,5,3,2,2,3,47080,80,45000,2000,50,0,,0,0,0,0,0,6300,0,2500,0,0,,0,,,,,,150,2860741
206,1,3,8,3,3,2,2,2,27810,560,27000,250,20,0,5,0,0,0,0,0,0,0,0,0,0,,0,,,300,,,200,3232276
209,1,4,2,3,3,2,2,1,25700,200,24500,1000,1,0,,0,0,0,0,0,19180,2900,16280,15900,0,200,0,,,,,,150,3487272
210,1,3,9,5,4,2,2,,30880,880,25000,5000,30,0,,0,0,0,0,0,6900,0,6900,6900,0,,30,,,,,,150,3146348
211,1,2,2,5,3,1,,,10700,200,4500,6000,5,0,5,0,0,0,0,0,800,800,0,0,0,,0,,,50,,,130,1405288
212,2,4,9,3,6,2,2,,45770,3570,42000,200,110,40,5,0,0,0,20,10,8900,0,0,0,0,300,20,350,1200,180,,,250,2835021
213,2,2,9,5,2,1,,,4100,600,0,3500,1,0,,0,0,0,0,0,0,0,0,0,0,,0,500,,,,,70,1682269
214,2,2,2,3,2,1,,,940,540,400,0,40,0,5,0,0,0,0,40,80,0,0,0,0,,0,,300,140,,,60,1693477
215,2,6,9,3,4,2,1,2,27750,9750,17000,1000,50,0,5,0,0,0,0,0,500,0,0,0,0,,0,3000,,1000,3500,,300,1383457
216,1,6,3,5,6,2,1,2,38500,10500,26000,2000,100,0,,0,0,0,0,0,0,0,0,0,0,,0,8000,,,,,350,1656130
219,1,2,9,3,4,1,,,3400,3100,0,300,14,14,,0,0,0,0,0,500,500,0,0,0,,0,2000,1000,,,,200,1316087
221,2,6,9,3,1,2,1,2,21830,830,20000,1000,20,0,,0,0,0,0,0,0,0,0,0,0,,20,,,,,,70,1383457
222,1,3,2,5,3,1,,,4400,900,0,3500,10,0,5,0,0,0,0,10,900,0,0,0,0,,5,,,800,,,70,3146348
223,1,6,2,5,4,2,2,2,96300,20300,75000,1000,50,0,,15,10,5,0,0,17400,0,12400,12400,0,,0,,,,100,,180,1656130
225,1,6,9,3,4,2,1,2,35850,7950,26900,1000,50,10,,0,0,0,0,0,6000,0,6000,6000,0,200,0,3500,1500,,,,250,1645889
228,2,3,3,2,3,1,,,92000,2000,90000,0,120,0,,0,0,0,0,0,0,0,0,0,0,,120,,,,,,80,2932871
231,1,2,2,2,6,1,,,79100,3100,71000,5000,100,100,,0,0,0,0,0,0,0,0,0,0,,100,1000,1000,,,,300,1369899
234,2,3,2,5,3,1,,,800,700,0,100,30,20,,0,0,0,0,0,0,0,0,0,0,,0,,200,,,,100,2641576
237,1,3,9,3,4,1,,,5970,3870,1600,500,50,10,5,0,0,0,0,0,0,0,0,0,0,,0,,120,250,,,200,3232276
238,1,2,9,5,3,1,,,57000,4000,52000,1000,160,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,25,1405288
239,2,4,9,3,6,2,2,2,4200,1400,1800,1000,50,0,5,0,0,0,20,5,2250,200,0,0,0,300,0,,,200,,,400,2835021
241,1,5,2,5,6,2,1,2,29120,1050,28000,70,30,0,,0,0,0,30,0,0,0,0,0,0,,15,200,,,,,400,2860741
242,2,4,2,5,7,2,2,2,63000,4000,57000,2000,100,0,,0,0,0,50,0,4900,2500,0,0,0,200,0,,,,500,,700,2639625
244,1,2,2,5,2,1,,,15500,500,0,15000,2,0,5,0,0,0,0,2,1400,1400,0,0,0,,0,,,200,,,20,1405288
246,1,4,9,5,1,1,,,70,70,0,0,1,0,,0,0,0,0,0,340,0,0,0,0,50,0,,,,,,23,3380323
248,2,5,8,1,3,2,2,2,12200,2200,10000,0,160,50,,0,0,0,10,0,0,0,0,0,0,70,8,,500,,,,7,3730941
249,1,3,2,1,4,2,2,2,5100,2600,2000,500,30,0,5,0,0,0,15,5,600,0,500,500,100,,0,500,300,600,,,100,3993789
250,1,6,9,5,6,2,2,2,105100,20100,80000,5000,200,0,,0,0,0,75,0,0,0,0,0,0,,0,,,,,,300,1656130
252,1,4,2,2,6,2,2,2,46000,9000,35000,2000,50,50,,0,0,0,0,0,0,0,0,0,0,150,50,2000,2000,,,,100,3615840
259,1,6,9,2,4,2,1,1,26680,580,26000,100,10,10,,0,0,0,0,0,0,0,0,0,0,200,0,,280,,,,180,1830279
260,2,6,9,3,1,1,,2,9670,6670,3000,0,338,0,,300,0,300,0,0,0,0,0,0,0,,0,,,,,,120,1383457
261,2,3,2,3,6,2,2,2,51255,10255,40000,1000,250,100,5,60,60,0,30,0,0,0,0,0,0,,35,1000,1000,500,300,,250,2769733
263,1,4,3,4,5,2,1,2,17850,4850,12000,1000,30,0,5,0,0,0,0,15,11440,0,640,0,9000,300,0,,,900,200,3000,250,3809610
265,2,4,4,5,6,2,2,2,30500,500,20000,10000,100,0,,0,0,0,0,0,0,0,0,0,0,300,0,,,,,,300,2639625
270,2,4,2,5,2,1,,,21700,9700,10000,2000,80,5,,0,0,0,65,0,0,0,0,0,0,150,65,5000,100,,,,80,2639625
273,1,5,2,5,4,2,2,2,17300,1300,16000,0,40,0,,0,0,0,20,0,0,0,0,0,0,,20,,,,,,100,2860741
279,2,5,9,5,4,2,2,1,29100,3100,25000,1000,100,0,,0,0,0,80,0,0,0,0,0,0,500,80,,,,,,100,2188927
280,1,6,2,5,6,2,1,1,39000,18000,19000,2000,150,30,5,0,0,0,30,50,1300,0,1300,1300,0,250,80,3000,500,500,1000,,320,1656130
281,2,5,2,5,2,1,,,11050,4050,6000,1000,40,0,,0,0,0,0,0,0,0,0,0,0,,0,1000,,,,,100,2188927
282,2,3,9,3,7,1,,,9820,2820,0,7000,100,0,,0,0,0,100,0,1700,0,0,0,0,,30,1500,,,,,300,2769733
283,2,5,9,5,1,1,,,500,150,200,150,3,0,,0,0,0,0,0,500,0,0,0,0,100,0,,,,,,50,2188927
284,1,3,2,5,3,1,,,4700,1700,0,3000,80,0,5,0,0,0,0,30,0,0,0,0,0,,50,,,100,,,100,3146348
285,1,5,3,3,6,2,2,3,37010,10810,24000,2200,130,110,5,0,0,0,0,0,1600,0,0,0,0,,30,500,2300,250,100,,450,2869737
286,1,3,2,2,6,2,2,2,24900,1900,22000,1000,100,0,5,0,0,0,0,100,9000,0,0,0,9000,,50,,,1200,,,300,3211358
287,1,4,2,5,6,2,1,3,46700,23700,18000,5000,150,50,5,10,0,10,0,10,1900,0,0,0,0,200,0,500,1200,300,200,,400,3380323
289,2,2,2,2,2,1,,,3480,1080,0,2400,61,51,5,0,0,0,0,10,1800,0,0,0,0,,0,,780,200,,,120,1741465
292,2,2,9,3,2,2,2,,6270,750,5500,20,10,0,5,0,0,0,0,10,910,0,300,300,0,,0,500,,150,,,120,1693477
293,1,4,8,5,6,2,1,2,26500,500,25000,1000,25,0,5,0,0,0,0,0,22000,2500,13500,13500,0,400,0,,,400,,,99,3380323
295,2,4,9,5,4,2,2,1,25800,1800,22500,1500,30,0,,0,0,0,0,0,18000,4000,14000,14000,0,200,0,,,,,,140,2639625
296,1,4,9,3,4,1,,,11960,3960,5000,3000,100,90,5,0,0,0,0,10,0,0,0,0,0,200,50,1500,1000,460,,,100,3487272
298,2,2,2,5,3,1,,,3000,2000,0,1000,100,0,,0,0,0,0,0,0,0,0,0,0,,100,,,,,,100,1682269
299,1,2,6,4,3,1,,,4200,200,0,4000,100,0,,0,0,0,0,0,0,0,0,0,0,,100,100,,,,,100,1437017
300,1,2,9,5,3,1,,,1500,1000,0,500,50,0,,0,0,0,0,0,0,0,0,0,0,,20,,,,,,50,1405288
302,2,2,9,5,2,1,,,1880,280,0,1600,40,15,,0,0,0,0,0,200,0,0,0,0,,0,,100,,,,60,1682269
303,2,2,4,5,3,1,,,3371,3270,100,1,60,2,5,0,0,0,30,3,1140,0,0,0,0,,0,800,500,230,,,80,1682269
304,1,6,9,5,3,2,1,2,23000,4200,18000,800,100,70,,0,0,0,20,0,6000,0,6000,6000,0,,20,,1500,,,,80,1656130
307,2,4,7,4,3,1,,,11215,2715,8500,0,150,130,5,5,5,0,0,5,0,0,0,0,0,200,5,90,1500,430,275,,50,3146000
309,1,3,3,5,4,2,2,2,30440,440,27000,3000,100,0,5,0,0,0,0,20,10600,0,10600,10600,0,,80,,,200,,,100,3146348
311,1,6,9,3,4,2,2,2,26600,5600,20000,1000,50,0,5,0,0,0,0,50,0,0,0,0,0,,0,,,100,,5000,250,1645889
314,1,4,2,3,3,2,1,2,13550,50,8500,5000,40,0,,0,0,0,0,0,40,0,40,40,0,200,0,,,,,,230,3487272
315,2,5,2,1,7,2,2,1,336850,1850,330000,5000,50,30,5,0,0,0,0,10,0,0,0,0,0,100,30,,1000,500,,,300,3730941
317,1,6,4,5,7,2,1,3,27045,1045,20000,6000,350,145,5,0,0,0,0,5,0,0,0,0,0,,100,100,145,600,,,300,1656130
318,2,5,9,5,7,2,2,2,122500,40000,77500,5000,300,150,,0,0,0,150,0,900,900,0,0,0,,150,12000,5000,,,,1000,2188927
320,2,3,7,3,3,1,,,1520,1120,200,200,1120,120,,0,0,0,0,0,0,0,0,0,0,,0,,120,,,,20,2769733
321,1,2,3,5,3,1,,,6100,500,5000,600,50,50,,0,0,0,0,0,200,0,0,0,0,,50,200,230,,,,150,1405288
322,1,4,3,5,5,2,1,2,41700,16700,22000,3000,100,10,5,0,0,0,20,0,0,0,0,0,0,250,0,12000,1000,400,,,280,3380323
323,2,2,4,2,2,1,,,6650,1650,0,5000,100,50,,50,50,0,0,0,30,0,0,0,0,,20,800,200,,50,,100,1741465
327,1,4,6,3,6,2,1,2,37500,2500,35000,0,50,0,,0,0,0,7,0,14800,0,12000,12000,0,300,0,,,,,,430,3487272
328,1,3,3,5,3,1,,,5300,3300,0,2000,100,75,5,10,10,0,0,0,0,0,0,0,0,,10,1500,600,660,110,,120,3146348
331,2,3,2,3,4,2,2,2,27101,100,27000,1,1,0,,0,0,0,0,0,17000,0,15000,15000,0,,1,,,,,,200,2769733
332,2,6,9,2,6,2,2,3,31850,3650,28000,200,5,0,,0,0,0,0,0,20500,400,20000,20000,0,,0,3000,,,,,200,1687950
333,2,4,2,5,2,1,,,1960,660,0,1300,70,60,5,0,0,0,0,10,0,0,0,0,0,120,0,300,200,100,,,100,2639625
334,1,6,8,2,5,2,1,2,50500,5200,45000,300,120,0,5,0,0,0,0,0,0,0,0,0,0,,0,3200,,300,,,300,1830279
335,2,3,2,3,7,2,2,1,3400,400,1000,2000,30,0,,0,0,0,0,0,5090,1800,500,0,0,,0,,,,,,140,2769733
336,2,6,9,2,7,2,2,1,91600,40600,45000,6000,200,100,,0,0,0,0,0,0,0,0,0,0,,50,15000,20000,,,,300,1687950
337,1,5,9,5,5,2,2,,19550,350,19000,200,300,0,,0,0,0,150,0,100,0,100,0,0,,0,50,,,,,100,2860741
338,2,3,2,5,2,1,,1,10700,2600,7200,900,10,0,,0,0,0,9,0,0,0,0,0,0,,0,,,,,,150,2641576
344,2,3,6,2,3,1,,,10420,420,0,10000,50,50,,0,0,0,0,0,500,0,0,0,0,,0,300,50,,,,70,2932871
345,1,5,8,3,6,2,2,2,94200,200,92000,2000,150,0,,0,0,0,0,0,1000,0,0,0,0,,50,,,,,,200,2869737
348,1,3,2,2,4,1,,,11900,6900,2000,3000,170,120,5,0,0,0,45,5,0,0,0,0,0,,10,,5000,100,,,100,3211358
